,open,close,high,low,volume,money
2015-05-18,2.29,2.49,2.49,2.29,25732.0,63372.0
2015-05-19,2.74,2.74,2.74,2.74,18380.0,50385.0
2015-05-20,3.02,3.02,3.02,3.02,14704.0,44340.0
2015-05-21,3.32,3.32,3.32,3.32,30633.0,101625.0
2015-05-22,3.65,3.65,3.65,3.65,22056.0,80496.0
2015-05-25,4.01,4.01,4.01,4.01,34309.0,137732.0
2015-05-26,4.42,4.42,4.42,4.42,20830.0,91987.0
2015-05-27,4.86,4.86,4.86,4.86,71068.0,345216.0
2015-05-28,5.34,5.34,5.34,5.34,82096.0,438649.0
2015-05-29,5.88,5.88,5.88,5.88,177671.0,1044290.0
2015-06-01,6.47,6.47,6.47,6.47,37985.0,245582.0
2015-06-02,7.11,7.11,7.11,7.11,123757.0,880114.0
2015-06-03,7.82,7.82,7.82,7.82,462790.0,3620159.0
2015-06-04,8.61,8.61,8.61,8.61,719261.0,6189328.0
2015-06-05,9.47,9.47,9.47,9.47,465008.0,4401441.0
2015-06-08,10.41,10.41,10.41,10.41,1848391.0,19245444.0
2015-06-09,10.45,11.45,11.45,9.88,107814458.0,1189375744.0
2015-06-10,12.6,12.6,12.6,12.6,3767384.0,47462908.0
2015-06-11,13.86,13.86,13.86,13.86,323484.0,4482984.0
2015-06-12,15.24,15.24,15.24,14.86,52653411.0,802509568.0
2015-06-15,13.88,13.72,15.01,13.72,46639139.0,658915328.0
2015-06-16,13.47,13.55,15.09,13.22,71728654.0,1003782144.0
2015-06-17,13.31,14.44,14.84,13.3,52118548.0,738882112.0
2015-06-18,13.91,12.99,14.04,12.99,50470264.0,669543936.0
2015-06-19,12.32,11.84,13.29,11.83,33192671.0,419982368.0
2015-06-23,12.2,13.02,13.02,12.16,42011889.0,541509376.0
2015-06-24,13.38,12.04,13.45,11.72,60439896.0,743369472.0
2015-06-25,11.83,11.59,12.41,11.54,30939950.0,370004064.0
2015-06-26,11.43,10.43,11.75,10.43,22807240.0,247191936.0
2015-06-29,9.87,10.77,11.26,9.39,50937244.0,532237888.0
2015-06-30,10.61,11.85,11.85,10.2,33245666.0,370164960.0
2015-07-01,11.45,11.67,13.03,11.44,33482152.0,408433152.0
2015-07-02,11.31,10.5,11.43,10.5,23180753.0,249364000.0
2015-07-03,9.47,9.45,10.98,9.45,31087380.0,302755584.0
2015-07-06,10.4,8.51,10.4,8.51,35127164.0,332507456.0
2015-07-07,7.83,7.66,8.0,7.66,9340591.0,71844696.0
2015-07-08,6.89,6.89,8.16,6.89,47389928.0,332484864.0
2015-07-09,7.18,7.58,7.58,7.06,30804540.0,229595152.0
2015-07-10,8.34,8.34,8.34,8.34,1261586.0,10521482.0
2015-07-13,9.17,9.17,9.17,9.17,712387.0,6535405.0
2015-07-14,10.09,10.09,10.09,9.79,37309895.0,375681696.0
2015-07-15,9.71,9.08,9.96,9.08,32122736.0,298002176.0
2015-07-16,8.57,9.37,9.96,8.34,25209560.0,234001424.0
2015-07-17,9.55,10.0,10.13,9.55,24062553.0,238616112.0
2015-07-20,9.89,10.04,10.36,9.72,21892590.0,219829792.0
2015-07-21,9.8,11.05,11.05,9.63,26409084.0,278915936.0
2015-07-22,11.29,12.15,12.15,11.05,45789627.0,536606944.0
2015-07-23,13.37,13.37,13.37,12.9,29209692.0,388358688.0
2015-07-24,13.89,13.95,14.71,13.89,39375620.0,569801472.0
2015-07-27,13.14,13.22,15.0,13.06,38319250.0,533044352.0
2015-07-28,12.4,14.17,14.54,12.07,34994266.0,474473376.0
2015-07-29,14.32,13.72,14.56,12.75,42742558.0,567727936.0
2015-07-30,13.29,12.43,13.59,12.37,24456835.0,321005952.0
2015-07-31,12.51,12.16,13.34,11.76,26368219.0,332453600.0
2015-08-03,11.59,10.94,11.81,10.94,23946478.0,266742224.0
2015-08-04,11.1,12.04,12.04,10.94,26211146.0,299880928.0
2015-08-05,12.24,12.59,13.24,12.05,35203036.0,451054432.0
2015-08-06,12.24,13.85,13.85,11.44,31604268.0,426461632.0
2015-08-07,14.4,13.83,14.68,13.34,30855538.0,425891936.0
2015-08-10,13.62,14.5,15.14,13.62,26568693.0,383736448.0
2015-08-11,14.39,15.75,15.95,14.38,27786291.0,428228704.0
2015-08-12,15.34,14.2,15.67,14.18,35985401.0,529279360.0
2015-08-13,13.86,14.88,14.93,13.68,23533363.0,336662816.0
2015-08-14,14.87,15.34,15.91,14.77,24201173.0,374785056.0
2015-08-17,15.22,14.36,15.48,14.28,14685460.0,216356112.0
2015-08-18,14.28,12.93,14.82,12.93,20782931.0,286545632.0
2015-08-19,12.49,13.79,13.83,12.12,27350617.0,356843360.0
2015-08-20,13.39,12.54,13.58,12.53,17508235.0,229406704.0
2015-08-21,12.17,11.75,12.4,11.55,21292295.0,253970016.0
2015-08-24,11.1,10.58,11.26,10.58,20614070.0,222985904.0
2015-08-25,9.64,10.12,11.16,9.52,36853182.0,376592640.0
2015-08-26,10.24,10.85,11.14,10.08,35021799.0,376277920.0
2015-08-27,10.98,11.22,11.51,10.45,26592636.0,294126368.0
2015-08-28,11.56,11.6,11.72,10.83,24178088.0,271227456.0
2015-08-31,11.26,10.69,11.49,10.58,15917896.0,176694864.0
2015-09-01,10.36,9.62,10.37,9.62,16134875.0,161072368.0
2015-09-02,8.9,9.4,10.57,8.73,18667678.0,179372688.0
2015-09-07,9.79,9.68,10.34,9.07,32572072.0,321637184.0
2015-09-08,9.39,10.37,10.61,9.35,23486531.0,236216032.0
2015-09-09,10.61,11.41,11.41,10.57,32188131.0,362582400.0
2015-09-10,11.44,11.56,12.23,11.25,26563555.0,310454272.0
2015-09-11,11.29,11.33,11.65,11.03,16855081.0,189888144.0
2015-09-14,11.38,10.2,11.5,10.2,13684734.0,145652672.0
2015-09-15,9.48,9.18,9.87,9.18,15804282.0,147956544.0
2015-09-16,9.32,10.1,10.1,9.09,22628544.0,219114768.0
2015-09-17,10.22,9.74,10.75,9.71,28190559.0,289318368.0
2015-09-18,9.74,10.19,10.61,9.74,15870876.0,160677408.0
2015-09-21,10.02,11.21,11.21,9.88,25595151.0,279171360.0
2015-09-22,11.75,11.81,12.29,11.7,36819965.0,438607936.0
